0	1	2
filter0	0.001332114334218204	-0.04419080540537834
filter1	0.10813671350479126	-0.104070283472538
filter2	0.11103880405426025	-0.0765061154961586
filter3	-0.011062214151024818	0.08109535276889801
filter4	-0.31500500440597534	0.31933218240737915
filter5	-0.08060941100120544	-0.006706954911351204
filter6	-0.01706210896372795	0.019707268103957176
filter7	-0.17873257398605347	0.17946428060531616
filter8	-0.07383740693330765	0.06813062727451324
filter9	-0.01890585944056511	0.005393409635871649
filter10	-0.1804966777563095	0.1718207150697708
filter11	0.0738060399889946	-0.06614026427268982
filter12	0.05625809356570244	-0.001781604951247573
filter13	0.12412379682064056	-0.1318391114473343
filter14	0.08117548376321793	-0.09510104358196259
filter15	-0.03758980706334114	0.07910807430744171
filter16	-0.09988126903772354	0.10518456995487213
filter17	-0.04724372178316116	0.04364112392067909
filter18	0.1279819756746292	-0.10263048112392426
filter19	0.00400493573397398	-0.00761055015027523
filter20	-0.02528855763375759	0.03116334229707718
filter21	-0.10521714389324188	0.10609912127256393
filter22	0.06851821392774582	-0.051942128688097
filter23	0.1002790555357933	-0.09992474317550659
filter24	-0.03316178917884827	0.030205532908439636
filter25	0.0993388220667839	-0.09279384464025497
filter26	0.17524053156375885	-0.18258823454380035
filter27	-0.03079385496675968	0.020763497799634933
filter28	-0.03950294479727745	0.027181468904018402
filter29	0.12018197029829025	-0.12239576131105423
filter30	-0.0336790606379509	0.056352145969867706
filter31	0.13836300373077393	-0.1397441029548645
filter32	-0.07317381352186203	0.0647190660238266
filter33	0.08444371074438095	-0.08954864740371704
filter34	-0.03864133358001709	0.035425081849098206
filter35	-0.016580544412136078	0.018506033346056938
filter36	-0.01339601818472147	0.0567266084253788
filter37	-0.04098271578550339	0.04910800978541374
filter38	-0.05946667492389679	0.058272894471883774
filter39	-0.07892758399248123	0.069072425365448
filter40	-0.07167838513851166	0.03871239349246025
filter41	-0.049611419439315796	0.051700904965400696
filter42	-0.0750788152217865	0.0709521695971489
filter43	-0.0576472207903862	0.05066832900047302
filter44	0.07426616549491882	-0.09084706753492355
filter45	0.09557987004518509	-0.100193552672863
filter46	-0.06649454683065414	0.05782607942819595
filter47	0.015117459930479527	-0.01244356669485569
filter48	0.06627646833658218	-0.06939861178398132
filter49	0.044185295701026917	-0.04589320719242096
filter50	0.0697576105594635	-0.06814444065093994
