motifs	cluster
WT.1_filter0	39
WT.1_filter1	2
WT.1_filter10	2
WT.1_filter100	26
WT.1_filter101	17
WT.1_filter102	11
WT.1_filter103	42
WT.1_filter104	12
WT.1_filter105	4
WT.1_filter106	29
WT.1_filter107	3
WT.1_filter108	7
WT.1_filter109	45
WT.1_filter11	15
WT.1_filter110	39
WT.1_filter111	14
WT.1_filter112	26
WT.1_filter113	14
WT.1_filter114	42
WT.1_filter115	22
WT.1_filter116	28
WT.1_filter117	34
WT.1_filter118	32
WT.1_filter119	37
WT.1_filter12	39
WT.1_filter120	1
WT.1_filter121	18
WT.1_filter122	23
WT.1_filter123	6
WT.1_filter124	14
WT.1_filter125	8
WT.1_filter126	47
WT.1_filter127	3
WT.1_filter13	38
WT.1_filter14	16
WT.1_filter15	27
WT.1_filter16	33
WT.1_filter17	23
WT.1_filter18	26
WT.1_filter19	44
WT.1_filter2	25
WT.1_filter20	27
WT.1_filter21	19
WT.1_filter22	28
WT.1_filter23	25
WT.1_filter24	31
WT.1_filter25	25
WT.1_filter26	49
WT.1_filter27	48
WT.1_filter28	11
WT.1_filter29	21
WT.1_filter3	4
WT.1_filter30	2
WT.1_filter31	23
WT.1_filter32	25
WT.1_filter33	13
WT.1_filter34	43
WT.1_filter35	27
WT.1_filter36	22
WT.1_filter37	47
WT.1_filter38	12
WT.1_filter39	8
WT.1_filter4	40
WT.1_filter40	40
WT.1_filter41	45
WT.1_filter42	11
WT.1_filter43	13
WT.1_filter44	3
WT.1_filter45	46
WT.1_filter46	48
WT.1_filter47	42
WT.1_filter48	43
WT.1_filter49	37
WT.1_filter5	20
WT.1_filter50	2
WT.1_filter51	46
WT.1_filter52	45
WT.1_filter53	50
WT.1_filter54	24
WT.1_filter55	24
WT.1_filter56	25
WT.1_filter57	49
WT.1_filter58	2
WT.1_filter59	39
WT.1_filter6	2
WT.1_filter60	7
WT.1_filter61	7
WT.1_filter62	30
WT.1_filter63	47
WT.1_filter64	36
WT.1_filter65	44
WT.1_filter66	10
WT.1_filter67	5
WT.1_filter68	27
WT.1_filter69	30
WT.1_filter7	9
WT.1_filter70	45
WT.1_filter71	1
WT.1_filter72	1
WT.1_filter73	50
WT.1_filter74	41
WT.1_filter75	42
WT.1_filter76	5
WT.1_filter77	2
WT.1_filter78	1
WT.1_filter79	34
WT.1_filter8	42
WT.1_filter80	46
WT.1_filter81	36
WT.1_filter82	28
WT.1_filter83	3
WT.1_filter84	35
WT.1_filter85	2
WT.1_filter86	15
WT.1_filter87	30
WT.1_filter88	16
WT.1_filter89	33
WT.1_filter9	35
WT.1_filter90	41
WT.1_filter91	30
WT.1_filter92	48
WT.1_filter93	32
WT.1_filter94	31
WT.1_filter95	15
WT.1_filter96	1
WT.1_filter97	6
WT.1_filter98	9
WT.1_filter99	39
