motifs	cluster
WT.1_filter0	87
WT.1_filter1	10
WT.1_filter10	7
WT.1_filter100	61
WT.1_filter101	43
WT.1_filter102	29
WT.1_filter103	95
WT.1_filter104	32
WT.1_filter105	15
WT.1_filter106	68
WT.1_filter107	13
WT.1_filter108	21
WT.1_filter109	104
WT.1_filter11	38
WT.1_filter110	87
WT.1_filter111	37
WT.1_filter112	59
WT.1_filter113	36
WT.1_filter114	93
WT.1_filter115	48
WT.1_filter116	65
WT.1_filter117	77
WT.1_filter118	73
WT.1_filter119	83
WT.1_filter12	86
WT.1_filter120	3
WT.1_filter121	44
WT.1_filter122	51
WT.1_filter123	19
WT.1_filter124	36
WT.1_filter125	24
WT.1_filter126	111
WT.1_filter127	11
WT.1_filter13	85
WT.1_filter14	41
WT.1_filter15	62
WT.1_filter16	75
WT.1_filter17	49
WT.1_filter18	60
WT.1_filter19	100
WT.1_filter2	56
WT.1_filter20	62
WT.1_filter21	45
WT.1_filter22	66
WT.1_filter23	58
WT.1_filter24	71
WT.1_filter25	54
WT.1_filter26	115
WT.1_filter27	114
WT.1_filter28	31
WT.1_filter29	47
WT.1_filter3	16
WT.1_filter30	5
WT.1_filter31	50
WT.1_filter32	57
WT.1_filter33	34
WT.1_filter34	98
WT.1_filter35	63
WT.1_filter36	48
WT.1_filter37	109
WT.1_filter38	33
WT.1_filter39	25
WT.1_filter4	89
WT.1_filter40	90
WT.1_filter41	102
WT.1_filter42	30
WT.1_filter43	35
WT.1_filter44	14
WT.1_filter45	106
WT.1_filter46	112
WT.1_filter47	97
WT.1_filter48	99
WT.1_filter49	84
WT.1_filter5	46
WT.1_filter50	9
WT.1_filter51	108
WT.1_filter52	103
WT.1_filter53	117
WT.1_filter54	52
WT.1_filter55	53
WT.1_filter56	55
WT.1_filter57	116
WT.1_filter58	10
WT.1_filter59	86
WT.1_filter6	8
WT.1_filter60	23
WT.1_filter61	22
WT.1_filter62	69
WT.1_filter63	110
WT.1_filter64	81
WT.1_filter65	101
WT.1_filter66	28
WT.1_filter67	17
WT.1_filter68	64
WT.1_filter69	69
WT.1_filter7	26
WT.1_filter70	105
WT.1_filter71	1
WT.1_filter72	1
WT.1_filter73	118
WT.1_filter74	91
WT.1_filter75	94
WT.1_filter76	18
WT.1_filter77	6
WT.1_filter78	2
WT.1_filter79	78
WT.1_filter8	96
WT.1_filter80	107
WT.1_filter81	82
WT.1_filter82	67
WT.1_filter83	12
WT.1_filter84	79
WT.1_filter85	9
WT.1_filter86	40
WT.1_filter87	70
WT.1_filter88	42
WT.1_filter89	76
WT.1_filter9	80
WT.1_filter90	92
WT.1_filter91	69
WT.1_filter92	113
WT.1_filter93	74
WT.1_filter94	72
WT.1_filter95	39
WT.1_filter96	4
WT.1_filter97	20
WT.1_filter98	27
WT.1_filter99	88
