motifs	cluster
WT.1_filter0	71
WT.1_filter1	5
WT.1_filter10	4
WT.1_filter100	48
WT.1_filter101	33
WT.1_filter102	22
WT.1_filter103	78
WT.1_filter104	25
WT.1_filter105	10
WT.1_filter106	55
WT.1_filter107	8
WT.1_filter108	15
WT.1_filter109	87
WT.1_filter11	29
WT.1_filter110	71
WT.1_filter111	28
WT.1_filter112	47
WT.1_filter113	28
WT.1_filter114	76
WT.1_filter115	38
WT.1_filter116	52
WT.1_filter117	62
WT.1_filter118	59
WT.1_filter119	68
WT.1_filter12	71
WT.1_filter120	2
WT.1_filter121	34
WT.1_filter122	40
WT.1_filter123	13
WT.1_filter124	28
WT.1_filter125	17
WT.1_filter126	93
WT.1_filter127	6
WT.1_filter13	70
WT.1_filter14	32
WT.1_filter15	49
WT.1_filter16	60
WT.1_filter17	39
WT.1_filter18	47
WT.1_filter19	83
WT.1_filter2	45
WT.1_filter20	49
WT.1_filter21	35
WT.1_filter22	53
WT.1_filter23	46
WT.1_filter24	58
WT.1_filter25	43
WT.1_filter26	97
WT.1_filter27	96
WT.1_filter28	24
WT.1_filter29	37
WT.1_filter3	10
WT.1_filter30	3
WT.1_filter31	39
WT.1_filter32	45
WT.1_filter33	26
WT.1_filter34	81
WT.1_filter35	50
WT.1_filter36	38
WT.1_filter37	91
WT.1_filter38	25
WT.1_filter39	18
WT.1_filter4	73
WT.1_filter40	74
WT.1_filter41	85
WT.1_filter42	23
WT.1_filter43	27
WT.1_filter44	9
WT.1_filter45	89
WT.1_filter46	94
WT.1_filter47	80
WT.1_filter48	82
WT.1_filter49	69
WT.1_filter5	36
WT.1_filter50	5
WT.1_filter51	90
WT.1_filter52	86
WT.1_filter53	99
WT.1_filter54	41
WT.1_filter55	42
WT.1_filter56	44
WT.1_filter57	98
WT.1_filter58	5
WT.1_filter59	71
WT.1_filter6	4
WT.1_filter60	16
WT.1_filter61	15
WT.1_filter62	56
WT.1_filter63	92
WT.1_filter64	66
WT.1_filter65	84
WT.1_filter66	21
WT.1_filter67	11
WT.1_filter68	51
WT.1_filter69	56
WT.1_filter7	19
WT.1_filter70	88
WT.1_filter71	1
WT.1_filter72	1
WT.1_filter73	100
WT.1_filter74	75
WT.1_filter75	77
WT.1_filter76	12
WT.1_filter77	3
WT.1_filter78	1
WT.1_filter79	63
WT.1_filter8	79
WT.1_filter80	89
WT.1_filter81	67
WT.1_filter82	54
WT.1_filter83	7
WT.1_filter84	64
WT.1_filter85	5
WT.1_filter86	31
WT.1_filter87	57
WT.1_filter88	32
WT.1_filter89	61
WT.1_filter9	65
WT.1_filter90	75
WT.1_filter91	56
WT.1_filter92	95
WT.1_filter93	59
WT.1_filter94	58
WT.1_filter95	30
WT.1_filter96	2
WT.1_filter97	14
WT.1_filter98	20
WT.1_filter99	72
