motifs	cluster
T95R.1_filter0	1
T95R.1_filter1	17
T95R.1_filter10	94
T95R.1_filter100	49
T95R.1_filter101	25
T95R.1_filter102	55
T95R.1_filter103	51
T95R.1_filter104	43
T95R.1_filter105	107
T95R.1_filter106	107
T95R.1_filter107	1
T95R.1_filter108	29
T95R.1_filter109	88
T95R.1_filter11	58
T95R.1_filter110	23
T95R.1_filter111	60
T95R.1_filter112	41
T95R.1_filter113	61
T95R.1_filter114	74
T95R.1_filter115	122
T95R.1_filter116	6
T95R.1_filter117	10
T95R.1_filter118	65
T95R.1_filter119	114
T95R.1_filter12	4
T95R.1_filter120	60
T95R.1_filter121	2
T95R.1_filter122	97
T95R.1_filter123	62
T95R.1_filter124	39
T95R.1_filter125	2
T95R.1_filter126	118
T95R.1_filter127	60
T95R.1_filter13	1
T95R.1_filter14	140
T95R.1_filter15	73
T95R.1_filter16	74
T95R.1_filter17	62
T95R.1_filter18	2
T95R.1_filter19	70
T95R.1_filter2	80
T95R.1_filter20	3
T95R.1_filter21	108
T95R.1_filter22	27
T95R.1_filter23	132
T95R.1_filter24	70
T95R.1_filter25	84
T95R.1_filter26	105
T95R.1_filter27	134
T95R.1_filter28	2
T95R.1_filter29	133
T95R.1_filter3	40
T95R.1_filter30	66
T95R.1_filter31	88
T95R.1_filter32	16
T95R.1_filter33	89
T95R.1_filter34	83
T95R.1_filter35	3
T95R.1_filter36	70
T95R.1_filter37	128
T95R.1_filter38	131
T95R.1_filter39	2
T95R.1_filter4	113
T95R.1_filter40	77
T95R.1_filter41	96
T95R.1_filter42	129
T95R.1_filter43	104
T95R.1_filter44	45
T95R.1_filter45	64
T95R.1_filter46	32
T95R.1_filter47	54
T95R.1_filter48	124
T95R.1_filter49	86
T95R.1_filter5	113
T95R.1_filter50	102
T95R.1_filter51	66
T95R.1_filter52	124
T95R.1_filter53	68
T95R.1_filter54	133
T95R.1_filter55	16
T95R.1_filter56	121
T95R.1_filter57	24
T95R.1_filter58	56
T95R.1_filter59	6
T95R.1_filter6	71
T95R.1_filter60	2
T95R.1_filter61	88
T95R.1_filter62	94
T95R.1_filter63	9
T95R.1_filter64	106
T95R.1_filter65	60
