motifs	cluster
T95R.1_filter0	1
T95R.1_filter1	25
T95R.1_filter10	134
T95R.1_filter100	61
T95R.1_filter101	34
T95R.1_filter102	70
T95R.1_filter103	63
T95R.1_filter104	52
T95R.1_filter105	155
T95R.1_filter106	156
T95R.1_filter107	1
T95R.1_filter108	38
T95R.1_filter109	125
T95R.1_filter11	76
T95R.1_filter110	32
T95R.1_filter111	79
T95R.1_filter112	50
T95R.1_filter113	81
T95R.1_filter114	102
T95R.1_filter115	180
T95R.1_filter116	7
T95R.1_filter117	15
T95R.1_filter118	87
T95R.1_filter119	168
T95R.1_filter12	5
T95R.1_filter120	78
T95R.1_filter121	3
T95R.1_filter122	138
T95R.1_filter123	82
T95R.1_filter124	48
T95R.1_filter125	3
T95R.1_filter126	175
T95R.1_filter127	78
T95R.1_filter13	1
T95R.1_filter14	207
T95R.1_filter15	100
T95R.1_filter16	103
T95R.1_filter17	82
T95R.1_filter18	3
T95R.1_filter19	95
T95R.1_filter2	109
T95R.1_filter20	4
T95R.1_filter21	158
T95R.1_filter22	36
T95R.1_filter23	195
T95R.1_filter24	96
T95R.1_filter25	116
T95R.1_filter26	151
T95R.1_filter27	199
T95R.1_filter28	2
T95R.1_filter29	197
T95R.1_filter3	49
T95R.1_filter30	89
T95R.1_filter31	126
T95R.1_filter32	23
T95R.1_filter33	127
T95R.1_filter34	115
T95R.1_filter35	4
T95R.1_filter36	94
T95R.1_filter37	188
T95R.1_filter38	194
T95R.1_filter39	2
T95R.1_filter4	166
T95R.1_filter40	106
T95R.1_filter41	137
T95R.1_filter42	190
T95R.1_filter43	149
T95R.1_filter44	54
T95R.1_filter45	84
T95R.1_filter46	41
T95R.1_filter47	67
T95R.1_filter48	182
T95R.1_filter49	120
T95R.1_filter5	167
T95R.1_filter50	146
T95R.1_filter51	90
T95R.1_filter52	183
T95R.1_filter53	92
T95R.1_filter54	198
T95R.1_filter55	24
T95R.1_filter56	178
T95R.1_filter57	33
T95R.1_filter58	73
T95R.1_filter59	7
T95R.1_filter6	97
T95R.1_filter60	2
T95R.1_filter61	124
T95R.1_filter62	135
T95R.1_filter63	13
T95R.1_filter64	153
T95R.1_filter65	78
T95R.1_filter66	139
T95R.1_filter67	80
T95R.1_filter68	60
T95R.1_filter69	173
T95R.1_filter7	11
T95R.1_filter70	192
T95R.1_filter71	185
T95R.1_filter72	7
T95R.1_filter73	123
T95R.1_filter74	144
