motifs	cluster
T95R.1_filter0	1
T95R.1_filter1	28
T95R.1_filter10	142
T95R.1_filter100	65
T95R.1_filter101	37
T95R.1_filter102	75
T95R.1_filter103	67
T95R.1_filter104	55
T95R.1_filter105	163
T95R.1_filter106	164
T95R.1_filter107	1
T95R.1_filter108	41
T95R.1_filter109	133
T95R.1_filter11	81
T95R.1_filter110	35
T95R.1_filter111	84
T95R.1_filter112	53
T95R.1_filter113	86
T95R.1_filter114	110
T95R.1_filter115	190
T95R.1_filter116	8
T95R.1_filter117	18
T95R.1_filter118	92
T95R.1_filter119	177
T95R.1_filter12	6
T95R.1_filter120	83
T95R.1_filter121	4
T95R.1_filter122	146
T95R.1_filter123	87
T95R.1_filter124	51
T95R.1_filter125	3
T95R.1_filter126	184
T95R.1_filter127	83
T95R.1_filter13	1
T95R.1_filter14	218
T95R.1_filter15	108
T95R.1_filter16	111
T95R.1_filter17	87
T95R.1_filter18	4
T95R.1_filter19	103
T95R.1_filter2	117
T95R.1_filter20	5
T95R.1_filter21	166
T95R.1_filter22	39
T95R.1_filter23	206
T95R.1_filter24	104
T95R.1_filter25	124
T95R.1_filter26	159
T95R.1_filter27	210
T95R.1_filter28	2
T95R.1_filter29	208
T95R.1_filter3	52
T95R.1_filter30	94
T95R.1_filter31	134
T95R.1_filter32	26
T95R.1_filter33	135
T95R.1_filter34	123
T95R.1_filter35	5
T95R.1_filter36	101
T95R.1_filter37	199
T95R.1_filter38	205
T95R.1_filter39	2
T95R.1_filter4	175
T95R.1_filter40	114
T95R.1_filter41	145
T95R.1_filter42	201
T95R.1_filter43	157
T95R.1_filter44	58
T95R.1_filter45	89
T95R.1_filter46	44
T95R.1_filter47	72
T95R.1_filter48	192
T95R.1_filter49	128
T95R.1_filter5	176
T95R.1_filter50	154
T95R.1_filter51	95
T95R.1_filter52	193
T95R.1_filter53	98
T95R.1_filter54	209
T95R.1_filter55	27
T95R.1_filter56	188
T95R.1_filter57	36
T95R.1_filter58	78
T95R.1_filter59	8
T95R.1_filter6	105
T95R.1_filter60	2
T95R.1_filter61	132
T95R.1_filter62	143
T95R.1_filter63	16
T95R.1_filter64	161
T95R.1_filter65	83
T95R.1_filter66	147
T95R.1_filter67	85
T95R.1_filter68	64
T95R.1_filter69	182
T95R.1_filter7	13
T95R.1_filter70	203
T95R.1_filter71	195
T95R.1_filter72	8
T95R.1_filter73	131
T95R.1_filter74	152
T95R.1_filter75	123
T95R.1_filter76	197
T95R.1_filter77	3
T95R.1_filter78	13
T95R.1_filter79	2
T95R.1_filter8	204
T95R.1_filter80	19
T95R.1_filter81	69
T95R.1_filter82	214
T95R.1_filter83	138
T95R.1_filter84	155
T95R.1_filter85	200
T95R.1_filter86	73
T95R.1_filter87	69
T95R.1_filter88	7
T95R.1_filter89	38
T95R.1_filter9	119
T95R.1_filter90	172
T95R.1_filter91	120
T95R.1_filter92	196
T95R.1_filter93	178
T95R.1_filter94	33
T95R.1_filter95	9
T95R.1_filter96	22
T95R.1_filter97	140
T95R.1_filter98	79
T95R.1_filter99	219
WT.1_filter0	4
WT.1_filter1	16
WT.1_filter10	14
WT.1_filter100	167
WT.1_filter101	45
WT.1_filter102	211
WT.1_filter103	121
WT.1_filter104	30
WT.1_filter105	180
WT.1_filter106	207
WT.1_filter107	185
WT.1_filter108	125
WT.1_filter109	148
WT.1_filter11	99
WT.1_filter110	4
WT.1_filter111	93
WT.1_filter112	102
WT.1_filter113	91
WT.1_filter114	115
WT.1_filter115	87
WT.1_filter116	141
WT.1_filter117	77
WT.1_filter118	60
WT.1_filter119	62
WT.1_filter12	3
WT.1_filter120	10
WT.1_filter121	43
WT.1_filter122	137
WT.1_filter123	183
WT.1_filter124	91
WT.1_filter125	34
WT.1_filter126	171
WT.1_filter127	186
WT.1_filter13	54
WT.1_filter14	96
WT.1_filter15	103
WT.1_filter16	202
WT.1_filter17	130
WT.1_filter18	165
WT.1_filter19	139
WT.1_filter2	216
WT.1_filter20	103
WT.1_filter21	66
WT.1_filter22	68
WT.1_filter23	215
WT.1_filter24	56
WT.1_filter25	149
WT.1_filter26	212
WT.1_filter27	213
WT.1_filter28	191
WT.1_filter29	49
WT.1_filter3	181
WT.1_filter30	17
WT.1_filter31	130
WT.1_filter32	220
WT.1_filter33	82
WT.1_filter34	158
WT.1_filter35	162
WT.1_filter36	87
WT.1_filter37	169
WT.1_filter38	31
WT.1_filter39	25
WT.1_filter4	112
WT.1_filter40	46
WT.1_filter41	150
WT.1_filter42	32
WT.1_filter43	179
WT.1_filter44	187
WT.1_filter45	173
WT.1_filter46	106
WT.1_filter47	74
WT.1_filter48	160
WT.1_filter49	63
WT.1_filter5	47
WT.1_filter50	13
WT.1_filter51	144
