motifs	cluster
T95R.1_filter0	1
T95R.1_filter1	33
T95R.1_filter10	150
T95R.1_filter100	70
T95R.1_filter101	42
T95R.1_filter102	80
T95R.1_filter103	72
T95R.1_filter104	60
T95R.1_filter105	171
T95R.1_filter106	172
T95R.1_filter107	2
T95R.1_filter108	46
T95R.1_filter109	141
T95R.1_filter11	86
T95R.1_filter110	40
T95R.1_filter111	90
T95R.1_filter112	58
T95R.1_filter113	92
T95R.1_filter114	117
T95R.1_filter115	198
T95R.1_filter116	11
T95R.1_filter117	23
T95R.1_filter118	98
T95R.1_filter119	185
T95R.1_filter12	9
T95R.1_filter120	89
T95R.1_filter121	6
T95R.1_filter122	154
T95R.1_filter123	93
T95R.1_filter124	56
T95R.1_filter125	5
T95R.1_filter126	192
T95R.1_filter127	88
T95R.1_filter13	1
T95R.1_filter14	226
T95R.1_filter15	115
T95R.1_filter16	118
T95R.1_filter17	93
T95R.1_filter18	6
T95R.1_filter19	110
T95R.1_filter2	124
T95R.1_filter20	8
T95R.1_filter21	174
T95R.1_filter22	44
T95R.1_filter23	214
T95R.1_filter24	111
T95R.1_filter25	131
T95R.1_filter26	167
T95R.1_filter27	218
T95R.1_filter28	3
T95R.1_filter29	216
T95R.1_filter3	57
T95R.1_filter30	100
T95R.1_filter31	142
T95R.1_filter32	31
T95R.1_filter33	143
T95R.1_filter34	130
T95R.1_filter35	8
T95R.1_filter36	107
T95R.1_filter37	207
T95R.1_filter38	213
T95R.1_filter39	4
T95R.1_filter4	183
T95R.1_filter40	121
T95R.1_filter41	153
T95R.1_filter42	209
T95R.1_filter43	165
T95R.1_filter44	63
T95R.1_filter45	95
T95R.1_filter46	49
T95R.1_filter47	77
T95R.1_filter48	200
T95R.1_filter49	135
T95R.1_filter5	184
T95R.1_filter50	162
T95R.1_filter51	101
T95R.1_filter52	201
T95R.1_filter53	104
T95R.1_filter54	217
T95R.1_filter55	32
T95R.1_filter56	196
T95R.1_filter57	41
T95R.1_filter58	83
T95R.1_filter59	11
T95R.1_filter6	112
T95R.1_filter60	4
T95R.1_filter61	140
T95R.1_filter62	151
