motifs	cluster
T95R.1_filter0	1
T95R.1_filter1	13
T95R.1_filter10	100
T95R.1_filter100	115
T95R.1_filter101	98
T95R.1_filter102	51
T95R.1_filter103	67
T95R.1_filter104	43
T95R.1_filter105	77
T95R.1_filter106	78
T95R.1_filter107	2
T95R.1_filter108	65
T95R.1_filter109	92
T95R.1_filter11	22
T95R.1_filter110	108
T95R.1_filter111	31
T95R.1_filter112	68
T95R.1_filter113	99
T95R.1_filter114	96
T95R.1_filter115	44
T95R.1_filter116	10
T95R.1_filter117	73
T95R.1_filter118	45
T95R.1_filter119	35
T95R.1_filter12	8
T95R.1_filter120	30
T95R.1_filter121	6
T95R.1_filter122	81
T95R.1_filter123	28
T95R.1_filter124	47
T95R.1_filter125	5
T95R.1_filter126	82
T95R.1_filter127	29
T95R.1_filter13	1
T95R.1_filter14	63
T95R.1_filter15	55
T95R.1_filter16	97
T95R.1_filter17	28
T95R.1_filter18	6
T95R.1_filter19	17
T95R.1_filter2	50
T95R.1_filter20	7
T95R.1_filter21	79
T95R.1_filter22	20
T95R.1_filter23	106
T95R.1_filter24	19
T95R.1_filter25	69
T95R.1_filter26	94
T95R.1_filter27	41
T95R.1_filter28	3
T95R.1_filter29	102
T95R.1_filter3	46
T95R.1_filter30	110
T95R.1_filter31	93
T95R.1_filter32	23
T95R.1_filter33	103
T95R.1_filter34	86
T95R.1_filter35	7
T95R.1_filter36	18
T95R.1_filter37	57
T95R.1_filter38	42
T95R.1_filter39	4
T95R.1_filter4	88
T95R.1_filter40	52
T95R.1_filter41	107
T95R.1_filter42	84
T95R.1_filter43	70
T95R.1_filter44	66
T95R.1_filter45	113
T95R.1_filter46	16
T95R.1_filter47	26
T95R.1_filter48	61
T95R.1_filter49	104
T95R.1_filter5	89
T95R.1_filter50	59
T95R.1_filter51	111
T95R.1_filter52	62
T95R.1_filter53	114
T95R.1_filter54	105
T95R.1_filter55	24
T95R.1_filter56	75
T95R.1_filter57	109
T95R.1_filter58	53
T95R.1_filter59	10
T95R.1_filter6	80
T95R.1_filter60	4
T95R.1_filter61	90
T95R.1_filter62	101
T95R.1_filter63	15
T95R.1_filter64	95
T95R.1_filter65	29
T95R.1_filter66	83
T95R.1_filter67	32
T95R.1_filter68	76
T95R.1_filter69	116
T95R.1_filter7	14
T95R.1_filter70	39
T95R.1_filter71	33
T95R.1_filter72	11
T95R.1_filter73	91
T95R.1_filter74	37
T95R.1_filter75	86
T95R.1_filter76	38
T95R.1_filter77	5
T95R.1_filter78	14
T95R.1_filter79	3
T95R.1_filter8	40
T95R.1_filter80	74
T95R.1_filter81	25
T95R.1_filter82	112
T95R.1_filter83	56
T95R.1_filter84	60
T95R.1_filter85	58
T95R.1_filter86	27
T95R.1_filter87	25
T95R.1_filter88	9
T95R.1_filter89	21
T95R.1_filter9	48
T95R.1_filter90	71
T95R.1_filter91	49
T95R.1_filter92	34
T95R.1_filter93	36
T95R.1_filter94	72
T95R.1_filter95	12
T95R.1_filter96	85
T95R.1_filter97	87
T95R.1_filter98	54
T95R.1_filter99	64
