motifs	cluster
T95R.1_filter0	1
T95R.1_filter1	7
T95R.1_filter10	65
T95R.1_filter100	75
T95R.1_filter101	63
T95R.1_filter102	30
T95R.1_filter103	41
T95R.1_filter104	25
T95R.1_filter105	51
T95R.1_filter106	51
T95R.1_filter107	1
T95R.1_filter108	39
T95R.1_filter109	60
T95R.1_filter11	12
T95R.1_filter110	70
T95R.1_filter111	17
T95R.1_filter112	42
T95R.1_filter113	64
T95R.1_filter114	62
T95R.1_filter115	26
T95R.1_filter116	6
T95R.1_filter117	47
T95R.1_filter118	27
T95R.1_filter119	19
T95R.1_filter12	4
T95R.1_filter120	17
T95R.1_filter121	2
T95R.1_filter122	54
T95R.1_filter123	16
T95R.1_filter124	28
T95R.1_filter125	2
T95R.1_filter126	54
T95R.1_filter127	17
T95R.1_filter13	1
T95R.1_filter14	38
T95R.1_filter15	33
T95R.1_filter16	62
T95R.1_filter17	16
T95R.1_filter18	2
T95R.1_filter19	10
T95R.1_filter2	29
T95R.1_filter20	3
T95R.1_filter21	52
T95R.1_filter22	11
T95R.1_filter23	69
T95R.1_filter24	10
T95R.1_filter25	43
T95R.1_filter26	61
T95R.1_filter27	23
T95R.1_filter28	2
T95R.1_filter29	66
T95R.1_filter3	27
T95R.1_filter30	72
T95R.1_filter31	60
T95R.1_filter32	13
T95R.1_filter33	66
T95R.1_filter34	57
T95R.1_filter35	3
T95R.1_filter36	10
T95R.1_filter37	35
T95R.1_filter38	24
T95R.1_filter39	2
T95R.1_filter4	59
T95R.1_filter40	31
T95R.1_filter41	69
T95R.1_filter42	55
T95R.1_filter43	44
T95R.1_filter44	40
T95R.1_filter45	74
T95R.1_filter46	9
T95R.1_filter47	15
T95R.1_filter48	37
T95R.1_filter49	67
T95R.1_filter5	59
T95R.1_filter50	36
T95R.1_filter51	72
T95R.1_filter52	37
T95R.1_filter53	74
T95R.1_filter54	68
T95R.1_filter55	13
T95R.1_filter56	49
T95R.1_filter57	71
T95R.1_filter58	32
T95R.1_filter59	6
T95R.1_filter6	53
T95R.1_filter60	2
T95R.1_filter61	60
T95R.1_filter62	65
T95R.1_filter63	8
T95R.1_filter64	61
T95R.1_filter65	17
T95R.1_filter66	54
T95R.1_filter67	17
T95R.1_filter68	50
T95R.1_filter69	76
T95R.1_filter7	8
T95R.1_filter70	22
T95R.1_filter71	18
T95R.1_filter72	6
T95R.1_filter73	60
T95R.1_filter74	20
T95R.1_filter75	57
T95R.1_filter76	21
T95R.1_filter77	2
T95R.1_filter78	8
T95R.1_filter79	2
T95R.1_filter8	22
T95R.1_filter80	48
T95R.1_filter81	14
T95R.1_filter82	73
T95R.1_filter83	34
T95R.1_filter84	36
T95R.1_filter85	35
T95R.1_filter86	15
T95R.1_filter87	14
T95R.1_filter88	5
T95R.1_filter89	11
T95R.1_filter9	29
T95R.1_filter90	45
T95R.1_filter91	29
T95R.1_filter92	18
T95R.1_filter93	19
T95R.1_filter94	46
T95R.1_filter95	6
T95R.1_filter96	56
T95R.1_filter97	58
T95R.1_filter98	32
T95R.1_filter99	38
