motifs	cluster
T95R.1_filter0	1
T95R.1_filter1	8
T95R.1_filter10	85
T95R.1_filter100	99
T95R.1_filter101	83
T95R.1_filter102	39
T95R.1_filter103	54
T95R.1_filter104	32
T95R.1_filter105	64
T95R.1_filter106	64
T95R.1_filter107	1
T95R.1_filter108	52
T95R.1_filter109	77
T95R.1_filter11	15
T95R.1_filter110	92
T95R.1_filter111	21
T95R.1_filter112	55
T95R.1_filter113	84
T95R.1_filter114	81
T95R.1_filter115	33
T95R.1_filter116	7
T95R.1_filter117	60
T95R.1_filter118	34
T95R.1_filter119	24
T95R.1_filter12	5
T95R.1_filter120	21
T95R.1_filter121	3
T95R.1_filter122	67
T95R.1_filter123	20
T95R.1_filter124	36
T95R.1_filter125	3
T95R.1_filter126	68
T95R.1_filter127	21
T95R.1_filter13	1
T95R.1_filter14	50
T95R.1_filter15	43
T95R.1_filter16	82
T95R.1_filter17	20
T95R.1_filter18	3
T95R.1_filter19	11
T95R.1_filter2	38
T95R.1_filter20	4
T95R.1_filter21	65
T95R.1_filter22	13
T95R.1_filter23	90
T95R.1_filter24	12
T95R.1_filter25	56
T95R.1_filter26	79
T95R.1_filter27	30
T95R.1_filter28	2
T95R.1_filter29	86
T95R.1_filter3	35
T95R.1_filter30	94
T95R.1_filter31	78
T95R.1_filter32	16
T95R.1_filter33	87
T95R.1_filter34	72
T95R.1_filter35	4
T95R.1_filter36	11
T95R.1_filter37	45
T95R.1_filter38	31
T95R.1_filter39	2
T95R.1_filter4	74
T95R.1_filter40	40
T95R.1_filter41	91
T95R.1_filter42	70
T95R.1_filter43	57
T95R.1_filter44	53
T95R.1_filter45	97
T95R.1_filter46	10
T95R.1_filter47	19
T95R.1_filter48	48
T95R.1_filter49	88
T95R.1_filter5	75
T95R.1_filter50	46
T95R.1_filter51	95
T95R.1_filter52	49
T95R.1_filter53	98
T95R.1_filter54	89
T95R.1_filter55	17
T95R.1_filter56	62
T95R.1_filter57	93
T95R.1_filter58	41
T95R.1_filter59	7
T95R.1_filter6	66
T95R.1_filter60	2
T95R.1_filter61	76
T95R.1_filter62	85
T95R.1_filter63	9
T95R.1_filter64	80
T95R.1_filter65	21
T95R.1_filter66	69
T95R.1_filter67	22
T95R.1_filter68	63
T95R.1_filter69	100
T95R.1_filter7	9
T95R.1_filter70	28
T95R.1_filter71	23
T95R.1_filter72	7
T95R.1_filter73	76
T95R.1_filter74	26
T95R.1_filter75	72
T95R.1_filter76	27
T95R.1_filter77	3
T95R.1_filter78	9
T95R.1_filter79	2
T95R.1_filter8	29
T95R.1_filter80	61
T95R.1_filter81	18
T95R.1_filter82	96
T95R.1_filter83	44
T95R.1_filter84	47
T95R.1_filter85	45
T95R.1_filter86	19
T95R.1_filter87	18
T95R.1_filter88	6
T95R.1_filter89	14
T95R.1_filter9	37
T95R.1_filter90	58
T95R.1_filter91	37
T95R.1_filter92	23
T95R.1_filter93	25
T95R.1_filter94	59
T95R.1_filter95	7
T95R.1_filter96	71
T95R.1_filter97	73
T95R.1_filter98	42
T95R.1_filter99	51
