motifs	cluster
filter0	87
filter1	10
filter10	7
filter100	61
filter101	43
filter102	29
filter103	95
filter104	32
filter105	15
filter106	68
filter107	13
filter108	21
filter109	104
filter11	38
filter110	87
filter111	37
filter112	59
filter113	36
filter114	93
filter115	48
filter116	65
filter117	77
filter118	73
filter119	83
filter12	86
filter120	3
filter121	44
filter122	51
filter123	19
filter124	36
filter125	24
filter126	111
filter127	11
filter13	85
filter14	41
filter15	62
filter16	75
filter17	49
filter18	60
filter19	100
filter2	56
filter20	62
filter21	45
filter22	66
filter23	58
filter24	71
filter25	54
filter26	115
filter27	114
filter28	31
filter29	47
filter3	16
filter30	5
filter31	50
filter32	57
filter33	34
filter34	98
filter35	63
filter36	48
filter37	109
filter38	33
filter39	25
filter4	89
filter40	90
filter41	102
filter42	30
filter43	35
filter44	14
filter45	106
filter46	112
filter47	97
filter48	99
filter49	84
filter5	46
filter50	9
filter51	108
filter52	103
filter53	117
filter54	52
filter55	53
filter56	55
filter57	116
filter58	10
filter59	86
filter6	8
filter60	23
filter61	22
filter62	69
filter63	110
filter64	81
filter65	101
filter66	28
filter67	17
filter68	64
filter69	69
filter7	26
filter70	105
filter71	1
filter72	1
filter73	118
filter74	91
filter75	94
filter76	18
filter77	6
filter78	2
filter79	78
filter8	96
filter80	107
filter81	82
filter82	67
filter83	12
filter84	79
filter85	9
filter86	40
filter87	70
filter88	42
filter89	76
filter9	80
filter90	92
filter91	69
filter92	113
filter93	74
filter94	72
filter95	39
filter96	4
filter97	20
filter98	27
filter99	88
