motifs	cluster
filter0	81
filter1	8
filter10	5
filter100	57
filter101	40
filter102	27
filter103	89
filter104	30
filter105	13
filter106	64
filter107	11
filter108	19
filter109	98
filter11	36
filter110	81
filter111	35
filter112	55
filter113	34
filter114	87
filter115	45
filter116	61
filter117	72
filter118	68
filter119	78
filter12	81
filter120	2
filter121	41
filter122	47
filter123	17
filter124	34
filter125	22
filter126	104
filter127	9
filter13	80
filter14	39
filter15	58
filter16	70
filter17	46
filter18	56
filter19	94
filter2	52
filter20	58
filter21	42
filter22	62
filter23	54
filter24	67
filter25	50
filter26	108
filter27	107
filter28	29
filter29	44
filter3	14
filter30	4
filter31	46
filter32	53
filter33	32
filter34	92
filter35	59
filter36	45
filter37	102
filter38	31
filter39	23
filter4	83
filter40	84
filter41	96
filter42	28
filter43	33
filter44	12
filter45	100
filter46	105
filter47	91
filter48	93
filter49	79
filter5	43
filter50	7
filter51	101
filter52	97
filter53	110
filter54	48
filter55	49
filter56	51
filter57	109
filter58	8
filter59	81
filter6	6
filter60	21
filter61	20
filter62	65
filter63	103
filter64	76
filter65	95
filter66	26
filter67	15
filter68	60
filter69	65
filter7	24
filter70	99
filter71	1
filter72	1
filter73	111
filter74	85
filter75	88
filter76	16
filter77	4
filter78	1
filter79	73
filter8	90
filter80	100
filter81	77
filter82	63
filter83	10
filter84	74
filter85	7
filter86	38
filter87	66
filter88	39
filter89	71
filter9	75
filter90	86
filter91	65
filter92	106
filter93	69
filter94	67
filter95	37
filter96	3
filter97	18
filter98	25
filter99	82
