motifs	cluster
filter0	39
filter1	2
filter10	2
filter100	26
filter101	17
filter102	11
filter103	42
filter104	12
filter105	4
filter106	29
filter107	3
filter108	7
filter109	45
filter11	15
filter110	39
filter111	14
filter112	26
filter113	14
filter114	42
filter115	22
filter116	28
filter117	34
filter118	32
filter119	37
filter12	39
filter120	1
filter121	18
filter122	23
filter123	6
filter124	14
filter125	8
filter126	47
filter127	3
filter13	38
filter14	16
filter15	27
filter16	33
filter17	23
filter18	26
filter19	44
filter2	25
filter20	27
filter21	19
filter22	28
filter23	25
filter24	31
filter25	25
filter26	49
filter27	48
filter28	11
filter29	21
filter3	4
filter30	2
filter31	23
filter32	25
filter33	13
filter34	43
filter35	27
filter36	22
filter37	47
filter38	12
filter39	8
filter4	40
filter40	40
filter41	45
filter42	11
filter43	13
filter44	3
filter45	46
filter46	48
filter47	42
filter48	43
filter49	37
filter5	20
filter50	2
filter51	46
filter52	45
filter53	50
filter54	24
filter55	24
filter56	25
filter57	49
filter58	2
filter59	39
filter6	2
filter60	7
filter61	7
filter62	30
filter63	47
filter64	36
filter65	44
filter66	10
filter67	5
filter68	27
filter69	30
filter7	9
filter70	45
filter71	1
filter72	1
filter73	50
filter74	41
filter75	42
filter76	5
filter77	2
filter78	1
filter79	34
filter8	42
filter80	46
filter81	36
filter82	28
filter83	3
filter84	35
filter85	2
filter86	15
filter87	30
filter88	16
filter89	33
filter9	35
filter90	41
filter91	30
filter92	48
filter93	32
filter94	31
filter95	15
filter96	1
filter97	6
filter98	9
filter99	39
