Id	IRF4	SPI1
13291	0.9408231973648071	0.06024963781237602
12209	0.7781223058700562	0.22477181255817413
21178	0.14933760464191437	0.8532318472862244
1539	0.5611836314201355	0.44237852096557617
17094	0.5787681937217712	0.42516225576400757
5900	0.057688064873218536	0.9432060718536377
24408	0.6174619197845459	0.38602715730667114
3215	0.2904180884361267	0.7129296660423279
27681	0.8553622961044312	0.14685553312301636
2289	0.6784738898277283	0.32515591382980347
3854	0.15010523796081543	0.851853609085083
25501	0.17170476913452148	0.830572247505188
11919	0.4145740866661072	0.5890811681747437
3001	0.8067984580993652	0.19567576050758362
4948	0.55475914478302	0.44921058416366577
7797	0.2666868269443512	0.7365920543670654
15530	0.5603156685829163	0.4439617693424225
11898	0.8645733594894409	0.1375836282968521
21200	0.010804194957017899	0.9893961548805237
18971	0.19655856490135193	0.8060709834098816
4874	0.5697974562644958	0.43417641520500183
17527	0.4529403746128082	0.5510799288749695
8418	0.2287917137145996	0.7737966775894165
15944	0.4112178385257721	0.5925144553184509
17647	0.6583380699157715	0.34527504444122314
22969	0.25360608100891113	0.7494638562202454
5648	0.5809804201126099	0.42362281680107117
14284	0.7657711505889893	0.2370963990688324
17286	0.7973548769950867	0.2050958275794983
278	0.9134771823883057	0.08804333955049515
16864	0.7110766172409058	0.292143315076828
10665	0.5963807106018066	0.4077492356300354
1178	0.08472155034542084	0.9166283011436462
14492	0.49525490403175354	0.5084255337715149
17800	0.7424471378326416	0.2604522109031677
6571	0.2945227324962616	0.7087992429733276
17889	0.7685101628303528	0.2342941015958786
11098	0.8805121183395386	0.12135986983776093
1044	0.3952198028564453	0.6087476015090942
9268	0.7341654300689697	0.2696441113948822
18956	0.23688308894634247	0.7655530571937561
22878	0.858137309551239	0.14380250871181488
20176	0.39691874384880066	0.6066558957099915
15828	0.7564900517463684	0.2464493066072464
7980	0.8570122122764587	0.14494913816452026
2419	0.45278385281562805	0.551628589630127
11957	0.5880748629570007	0.4160023629665375
20715	0.4732831120491028	0.5308012366294861
7802	0.7502538561820984	0.2528086006641388
67	0.09235291928052902	0.9088550209999084
16125	0.6755929589271545	0.3278573155403137
12965	0.6571317911148071	0.34688737988471985
23485	0.08970171213150024	0.911643922328949
19732	0.6596603393554688	0.3439597189426422
15288	0.03139889985322952	0.9690076112747192
3783	0.2566736340522766	0.7462306022644043
379	0.6108971238136292	0.39331087470054626
3069	0.8618917465209961	0.14010384678840637
23129	0.21583342552185059	0.787120521068573
25957	0.4180269241333008	0.5859572887420654
25047	0.856296956539154	0.14585033059120178
6032	0.8464785218238831	0.15562289953231812
21442	0.5345582365989685	0.469673216342926
14188	0.1969829499721527	0.8058733344078064
17320	0.7988847494125366	0.20388475060462952
11672	0.8193889856338501	0.18299472332000732
515	0.5565888285636902	0.44750186800956726
2735	0.8259638547897339	0.1762266457080841
3772	0.2368101179599762	0.7663009762763977
11889	0.09466689825057983	0.9068109393119812
1431	0.21497386693954468	0.7876276969909668
6914	0.7553711533546448	0.2475881725549698
6842	0.19188939034938812	0.810744047164917
5185	0.7724835872650146	0.23015180230140686
8253	0.07440744340419769	0.9265698790550232
4414	0.669240415096283	0.33452108502388
12473	0.43368852138519287	0.5698606967926025
1826	0.8769378662109375	0.12491551041603088
3350	0.6334922313690186	0.3701845109462738
10173	0.17990510165691376	0.8224714994430542
23770	0.427196741104126	0.5769373774528503
17868	0.2713475525379181	0.7317923307418823
16696	0.7796688079833984	0.22353534400463104
26765	0.9589073657989502	0.04183291643857956
20878	0.7558200359344482	0.2471812218427658
4751	0.42321255803108215	0.5804779529571533
7807	0.17151165008544922	0.8309106230735779
606	0.4582183063030243	0.5457559823989868
6534	0.1083013117313385	0.8932774662971497
13886	0.9037319421768188	0.0976683646440506
13834	0.902238130569458	0.09905624389648438
24826	0.7381858825683594	0.26492077112197876
3263	0.7108544111251831	0.29221418499946594
15460	0.7814356684684753	0.22134819626808167
26950	0.7481516003608704	0.2546774446964264
24145	0.6757158637046814	0.3286876380443573
12768	0.8049021363258362	0.19771668314933777
18527	0.012716714292764664	0.9875029921531677
10664	0.942692756652832	0.058222007006406784
17838	0.015425470657646656	0.9848190546035767
17150	0.3651679754257202	0.6387767791748047
18419	0.40445777773857117	0.5993005633354187
1406	0.6633825898170471	0.3402504324913025
3588	0.35034501552581787	0.6530980467796326
21860	0.8395248055458069	0.1629188358783722
7682	0.5736985206604004	0.4300200641155243
