motifs	cluster
filter0	1
filter1	7
filter10	65
filter100	75
filter101	63
filter102	30
filter103	41
filter104	25
filter105	51
filter106	51
filter107	1
filter108	39
filter109	60
filter11	12
filter110	70
filter111	17
filter112	42
filter113	64
filter114	62
filter115	26
filter116	6
filter117	47
filter118	27
filter119	19
filter12	4
filter120	17
filter121	2
filter122	54
filter123	16
filter124	28
filter125	2
filter126	54
filter127	17
filter13	1
filter14	38
filter15	33
filter16	62
filter17	16
filter18	2
filter19	10
filter2	29
filter20	3
filter21	52
filter22	11
filter23	69
filter24	10
filter25	43
filter26	61
filter27	23
filter28	2
filter29	66
filter3	27
filter30	72
filter31	60
filter32	13
filter33	66
filter34	57
filter35	3
filter36	10
filter37	35
filter38	24
filter39	2
filter4	59
filter40	31
filter41	69
filter42	55
filter43	44
filter44	40
filter45	74
filter46	9
filter47	15
filter48	37
filter49	67
filter5	59
filter50	36
filter51	72
filter52	37
filter53	74
filter54	68
filter55	13
filter56	49
filter57	71
filter58	32
filter59	6
filter6	53
filter60	2
filter61	60
filter62	65
filter63	8
filter64	61
filter65	17
filter66	54
filter67	17
filter68	50
filter69	76
filter7	8
filter70	22
filter71	18
filter72	6
filter73	60
filter74	20
filter75	57
filter76	21
filter77	2
filter78	8
filter79	2
filter8	22
filter80	48
filter81	14
filter82	73
filter83	34
filter84	36
filter85	35
filter86	15
filter87	14
filter88	5
filter89	11
filter9	29
filter90	45
filter91	29
filter92	18
filter93	19
filter94	46
filter95	6
filter96	56
filter97	58
filter98	32
filter99	38
