motifs	cluster
filter0	1
filter1	10
filter10	93
filter100	108
filter101	91
filter102	44
filter103	60
filter104	36
filter105	70
filter106	71
filter107	1
filter108	58
filter109	85
filter11	17
filter110	101
filter111	25
filter112	61
filter113	92
filter114	89
filter115	37
filter116	8
filter117	66
filter118	38
filter119	28
filter12	6
filter120	24
filter121	4
filter122	74
filter123	23
filter124	40
filter125	3
filter126	75
filter127	24
filter13	1
filter14	56
filter15	48
filter16	90
filter17	23
filter18	4
filter19	13
filter2	43
filter20	5
filter21	72
filter22	15
filter23	99
filter24	14
filter25	62
filter26	87
filter27	34
filter28	2
filter29	95
filter3	39
filter30	103
filter31	86
filter32	18
filter33	96
filter34	79
filter35	5
filter36	13
filter37	50
filter38	35
filter39	2
filter4	81
filter40	45
filter41	100
filter42	77
filter43	63
filter44	59
filter45	106
filter46	12
filter47	21
filter48	54
filter49	97
filter5	82
filter50	52
filter51	104
filter52	55
filter53	107
filter54	98
filter55	19
filter56	68
filter57	102
filter58	46
filter59	8
filter6	73
filter60	2
filter61	83
filter62	94
filter63	11
filter64	88
filter65	24
filter66	76
filter67	26
filter68	69
filter69	109
filter7	11
filter70	32
filter71	27
filter72	8
filter73	84
filter74	30
filter75	79
filter76	31
filter77	3
filter78	11
filter79	2
filter8	33
filter80	67
filter81	20
filter82	105
filter83	49
filter84	53
filter85	51
filter86	22
filter87	20
filter88	7
filter89	16
filter9	41
filter90	64
filter91	42
filter92	27
filter93	29
filter94	65
filter95	9
filter96	78
filter97	80
filter98	47
filter99	57
