motifs	cluster
T95R-WT.1_filter0	226
T95R-WT.1_filter1	63
T95R-WT.1_filter10	82
T95R-WT.1_filter100	144
T95R-WT.1_filter101	4
T95R-WT.1_filter102	34
T95R-WT.1_filter103	42
T95R-WT.1_filter104	48
T95R-WT.1_filter105	55
T95R-WT.1_filter106	203
T95R-WT.1_filter107	293
T95R-WT.1_filter108	292
T95R-WT.1_filter109	271
T95R-WT.1_filter11	177
T95R-WT.1_filter110	167
T95R-WT.1_filter111	14
T95R-WT.1_filter112	135
T95R-WT.1_filter113	219
T95R-WT.1_filter114	59
T95R-WT.1_filter115	249
T95R-WT.1_filter116	172
T95R-WT.1_filter117	294
T95R-WT.1_filter118	178
T95R-WT.1_filter119	179
T95R-WT.1_filter12	218
T95R-WT.1_filter120	183
T95R-WT.1_filter121	113
T95R-WT.1_filter122	121
T95R-WT.1_filter123	8
T95R-WT.1_filter124	101
T95R-WT.1_filter125	251
T95R-WT.1_filter126	157
T95R-WT.1_filter127	49
T95R-WT.1_filter13	184
T95R-WT.1_filter14	125
T95R-WT.1_filter15	274
T95R-WT.1_filter16	174
T95R-WT.1_filter17	102
T95R-WT.1_filter18	247
T95R-WT.1_filter19	114
T95R-WT.1_filter2	278
T95R-WT.1_filter20	139
T95R-WT.1_filter21	191
T95R-WT.1_filter22	294
T95R-WT.1_filter23	61
T95R-WT.1_filter24	290
T95R-WT.1_filter25	1
T95R-WT.1_filter26	67
T95R-WT.1_filter27	52
T95R-WT.1_filter28	295
T95R-WT.1_filter29	185
T95R-WT.1_filter3	286
T95R-WT.1_filter30	242
T95R-WT.1_filter31	232
T95R-WT.1_filter32	57
T95R-WT.1_filter33	103
T95R-WT.1_filter34	243
T95R-WT.1_filter35	244
T95R-WT.1_filter36	46
T95R-WT.1_filter37	1
T95R-WT.1_filter38	68
T95R-WT.1_filter39	8
T95R-WT.1_filter4	158
T95R-WT.1_filter40	60
T95R-WT.1_filter41	297
T95R-WT.1_filter42	78
T95R-WT.1_filter43	207
T95R-WT.1_filter44	69
T95R-WT.1_filter45	71
T95R-WT.1_filter46	70
T95R-WT.1_filter47	146
T95R-WT.1_filter48	35
T95R-WT.1_filter49	73
T95R-WT.1_filter5	175
T95R-WT.1_filter50	173
T95R-WT.1_filter51	54
T95R-WT.1_filter52	186
T95R-WT.1_filter53	5
T95R-WT.1_filter54	155
T95R-WT.1_filter55	189
T95R-WT.1_filter56	217
T95R-WT.1_filter57	25
T95R-WT.1_filter58	147
T95R-WT.1_filter59	280
T95R-WT.1_filter6	187
T95R-WT.1_filter60	5
T95R-WT.1_filter61	96
T95R-WT.1_filter62	261
T95R-WT.1_filter63	257
T95R-WT.1_filter64	141
T95R-WT.1_filter65	199
T95R-WT.1_filter66	287
T95R-WT.1_filter67	9
T95R-WT.1_filter68	74
T95R-WT.1_filter69	240
T95R-WT.1_filter7	156
T95R-WT.1_filter70	250
T95R-WT.1_filter71	5
T95R-WT.1_filter72	80
T95R-WT.1_filter73	298
T95R-WT.1_filter74	246
T95R-WT.1_filter75	256
T95R-WT.1_filter76	84
T95R-WT.1_filter77	32
T95R-WT.1_filter78	85
T95R-WT.1_filter79	4
T95R-WT.1_filter8	56
T95R-WT.1_filter80	97
T95R-WT.1_filter81	238
T95R-WT.1_filter82	119
T95R-WT.1_filter83	269
T95R-WT.1_filter84	276
T95R-WT.1_filter85	29
T95R-WT.1_filter86	159
T95R-WT.1_filter87	211
T95R-WT.1_filter88	4
T95R-WT.1_filter89	162
T95R-WT.1_filter9	65
T95R-WT.1_filter90	66
T95R-WT.1_filter91	4
T95R-WT.1_filter92	2
T95R-WT.1_filter93	93
T95R-WT.1_filter94	40
T95R-WT.1_filter95	50
T95R-WT.1_filter96	294
T95R-WT.1_filter97	180
T95R-WT.1_filter98	41
T95R-WT.1_filter99	192
T95R.1_filter0	4
T95R.1_filter1	254
T95R.1_filter10	236
T95R.1_filter100	44
T95R.1_filter101	7
T95R.1_filter102	288
T95R.1_filter103	134
T95R.1_filter104	87
T95R.1_filter105	220
T95R.1_filter106	221
T95R.1_filter107	4
T95R.1_filter108	163
T95R.1_filter109	17
T95R.1_filter11	272
T95R.1_filter110	43
T95R.1_filter111	6
T95R.1_filter112	190
T95R.1_filter113	193
T95R.1_filter114	259
T95R.1_filter115	145
T95R.1_filter116	292
T95R.1_filter117	165
T95R.1_filter118	23
T95R.1_filter119	108
T95R.1_filter12	72
T95R.1_filter120	6
T95R.1_filter121	1
T95R.1_filter122	110
T95R.1_filter123	21
T95R.1_filter124	181
T95R.1_filter125	1
T95R.1_filter126	201
T95R.1_filter127	6
T95R.1_filter13	4
T95R.1_filter14	38
T95R.1_filter15	224
T95R.1_filter16	260
T95R.1_filter17	21
T95R.1_filter18	1
T95R.1_filter19	195
T95R.1_filter2	265
T95R.1_filter20	5
T95R.1_filter21	197
T95R.1_filter22	153
T95R.1_filter23	123
T95R.1_filter24	196
T95R.1_filter25	169
T95R.1_filter26	205
T95R.1_filter27	140
T95R.1_filter28	5
T95R.1_filter29	79
T95R.1_filter3	58
T95R.1_filter30	30
T95R.1_filter31	18
T95R.1_filter32	132
T95R.1_filter33	10
T95R.1_filter34	8
T95R.1_filter35	5
T95R.1_filter36	195
T95R.1_filter37	216
T95R.1_filter38	214
T95R.1_filter39	1
T95R.1_filter4	127
T95R.1_filter40	277
T95R.1_filter41	170
T95R.1_filter42	212
T95R.1_filter43	51
T95R.1_filter44	149
T95R.1_filter45	22
T95R.1_filter46	36
T95R.1_filter47	253
T95R.1_filter48	245
T95R.1_filter49	208
T95R.1_filter5	128
T95R.1_filter50	228
T95R.1_filter51	31
T95R.1_filter52	283
T95R.1_filter53	26
T95R.1_filter54	76
T95R.1_filter55	133
T95R.1_filter56	106
T95R.1_filter57	35
T95R.1_filter58	270
T95R.1_filter59	292
T95R.1_filter6	230
T95R.1_filter60	1
T95R.1_filter61	12
T95R.1_filter62	236
T95R.1_filter63	295
T95R.1_filter64	206
T95R.1_filter65	6
T95R.1_filter66	112
T95R.1_filter67	33
T95R.1_filter68	64
T95R.1_filter69	15
T95R.1_filter7	294
T95R.1_filter70	168
T95R.1_filter71	152
T95R.1_filter72	292
T95R.1_filter73	12
T95R.1_filter74	234
T95R.1_filter75	8
T95R.1_filter76	99
T95R.1_filter77	1
T95R.1_filter78	294
T95R.1_filter79	5
T95R.1_filter8	215
T95R.1_filter80	166
T95R.1_filter81	252
T95R.1_filter82	47
T95R.1_filter83	227
T95R.1_filter84	209
T95R.1_filter85	216
T95R.1_filter86	253
T95R.1_filter87	252
T95R.1_filter88	71
T95R.1_filter89	275
T95R.1_filter9	266
T95R.1_filter90	131
T95R.1_filter91	267
T95R.1_filter92	152
T95R.1_filter93	109
T95R.1_filter94	37
T95R.1_filter95	292
T95R.1_filter96	90
T95R.1_filter97	142
T95R.1_filter98	258
T95R.1_filter99	39
WT.1_filter0	1
WT.1_filter1	295
WT.1_filter10	294
WT.1_filter100	200
WT.1_filter101	279
WT.1_filter102	143
WT.1_filter103	268
WT.1_filter104	116
WT.1_filter105	213
WT.1_filter106	124
WT.1_filter107	201
WT.1_filter108	19
WT.1_filter109	241
WT.1_filter11	27
WT.1_filter110	1
WT.1_filter111	24
WT.1_filter112	197
WT.1_filter113	23
WT.1_filter114	188
WT.1_filter115	21
WT.1_filter116	229
WT.1_filter117	137
WT.1_filter118	151
WT.1_filter119	94
WT.1_filter12	1
WT.1_filter120	291
WT.1_filter121	164
WT.1_filter122	13
WT.1_filter123	16
WT.1_filter124	23
WT.1_filter125	83
WT.1_filter126	171
WT.1_filter127	284
WT.1_filter13	92
WT.1_filter14	28
WT.1_filter15	195
WT.1_filter16	160
WT.1_filter17	12
WT.1_filter18	222
WT.1_filter19	237
WT.1_filter2	77
WT.1_filter20	195
WT.1_filter21	45
WT.1_filter22	233
WT.1_filter23	62
WT.1_filter24	148
WT.1_filter25	223
WT.1_filter26	53
WT.1_filter27	107
WT.1_filter28	217
WT.1_filter29	105
WT.1_filter3	213
WT.1_filter30	296
WT.1_filter31	12
WT.1_filter32	98
WT.1_filter33	273
WT.1_filter34	111
WT.1_filter35	206
WT.1_filter36	21
WT.1_filter37	129
WT.1_filter38	117
WT.1_filter39	115
WT.1_filter4	263
WT.1_filter40	182
WT.1_filter41	235
WT.1_filter42	118
WT.1_filter43	120
WT.1_filter44	202
WT.1_filter45	126
WT.1_filter46	231
WT.1_filter47	255
WT.1_filter48	205
WT.1_filter49	95
WT.1_filter5	86
WT.1_filter50	294
WT.1_filter51	194
WT.1_filter52	239
WT.1_filter53	264
WT.1_filter54	91
WT.1_filter55	11
WT.1_filter56	176
WT.1_filter57	100
WT.1_filter58	295
WT.1_filter59	1
WT.1_filter6	294
WT.1_filter60	210
WT.1_filter61	19
WT.1_filter62	6
WT.1_filter63	130
WT.1_filter64	75
WT.1_filter65	198
WT.1_filter66	122
WT.1_filter67	150
WT.1_filter68	262
WT.1_filter69	6
WT.1_filter7	88
WT.1_filter70	104
WT.1_filter71	292
WT.1_filter72	292
WT.1_filter73	282
WT.1_filter74	252
WT.1_filter75	281
WT.1_filter76	204
WT.1_filter77	296
WT.1_filter78	291
WT.1_filter79	289
WT.1_filter8	265
WT.1_filter80	126
WT.1_filter81	93
WT.1_filter82	225
WT.1_filter83	285
WT.1_filter84	138
WT.1_filter85	294
WT.1_filter86	22
WT.1_filter87	154
WT.1_filter88	28
WT.1_filter89	161
WT.1_filter9	136
WT.1_filter90	252
WT.1_filter91	6
WT.1_filter92	248
WT.1_filter93	151
WT.1_filter94	148
WT.1_filter95	81
WT.1_filter96	291
WT.1_filter97	20
WT.1_filter98	89
WT.1_filter99	3
