motifs	cluster
T95R-WT.1_filter0	246
T95R-WT.1_filter1	73
T95R-WT.1_filter10	93
T95R-WT.1_filter100	156
T95R-WT.1_filter101	6
T95R-WT.1_filter102	43
T95R-WT.1_filter103	52
T95R-WT.1_filter104	58
T95R-WT.1_filter105	65
T95R-WT.1_filter106	218
T95R-WT.1_filter107	320
T95R-WT.1_filter108	318
T95R-WT.1_filter109	296
T95R-WT.1_filter11	190
T95R-WT.1_filter110	180
T95R-WT.1_filter111	20
T95R-WT.1_filter112	147
T95R-WT.1_filter113	239
T95R-WT.1_filter114	69
T95R-WT.1_filter115	270
T95R-WT.1_filter116	185
T95R-WT.1_filter117	321
T95R-WT.1_filter118	191
T95R-WT.1_filter119	192
T95R-WT.1_filter12	238
T95R-WT.1_filter120	196
T95R-WT.1_filter121	125
T95R-WT.1_filter122	133
T95R-WT.1_filter123	12
T95R-WT.1_filter124	113
T95R-WT.1_filter125	272
T95R-WT.1_filter126	170
T95R-WT.1_filter127	59
T95R-WT.1_filter13	197
T95R-WT.1_filter14	137
T95R-WT.1_filter15	299
T95R-WT.1_filter16	187
T95R-WT.1_filter17	114
T95R-WT.1_filter18	268
T95R-WT.1_filter19	126
T95R-WT.1_filter2	303
T95R-WT.1_filter20	151
T95R-WT.1_filter21	204
T95R-WT.1_filter22	321
T95R-WT.1_filter23	71
T95R-WT.1_filter24	315
T95R-WT.1_filter25	2
T95R-WT.1_filter26	77
T95R-WT.1_filter27	62
T95R-WT.1_filter28	324
T95R-WT.1_filter29	198
T95R-WT.1_filter3	311
T95R-WT.1_filter30	263
T95R-WT.1_filter31	252
T95R-WT.1_filter32	67
T95R-WT.1_filter33	115
T95R-WT.1_filter34	264
T95R-WT.1_filter35	265
T95R-WT.1_filter36	56
T95R-WT.1_filter37	3
T95R-WT.1_filter38	78
T95R-WT.1_filter39	12
T95R-WT.1_filter4	171
T95R-WT.1_filter40	70
T95R-WT.1_filter41	326
T95R-WT.1_filter42	89
T95R-WT.1_filter43	224
T95R-WT.1_filter44	79
T95R-WT.1_filter45	81
T95R-WT.1_filter46	80
T95R-WT.1_filter47	158
T95R-WT.1_filter48	44
T95R-WT.1_filter49	84
T95R-WT.1_filter5	188
T95R-WT.1_filter50	186
T95R-WT.1_filter51	64
T95R-WT.1_filter52	199
T95R-WT.1_filter53	7
T95R-WT.1_filter54	168
T95R-WT.1_filter55	202
T95R-WT.1_filter56	236
T95R-WT.1_filter57	34
T95R-WT.1_filter58	159
T95R-WT.1_filter59	305
T95R-WT.1_filter6	200
T95R-WT.1_filter60	7
T95R-WT.1_filter61	108
T95R-WT.1_filter62	285
T95R-WT.1_filter63	281
T95R-WT.1_filter64	153
T95R-WT.1_filter65	214
T95R-WT.1_filter66	312
T95R-WT.1_filter67	13
T95R-WT.1_filter68	85
T95R-WT.1_filter69	261
T95R-WT.1_filter7	169
T95R-WT.1_filter70	271
T95R-WT.1_filter71	7
T95R-WT.1_filter72	91
T95R-WT.1_filter73	327
T95R-WT.1_filter74	267
T95R-WT.1_filter75	280
T95R-WT.1_filter76	95
T95R-WT.1_filter77	41
T95R-WT.1_filter78	96
T95R-WT.1_filter79	6
T95R-WT.1_filter8	66
T95R-WT.1_filter80	109
T95R-WT.1_filter81	259
T95R-WT.1_filter82	131
T95R-WT.1_filter83	294
T95R-WT.1_filter84	301
T95R-WT.1_filter85	38
T95R-WT.1_filter86	172
T95R-WT.1_filter87	228
T95R-WT.1_filter88	6
T95R-WT.1_filter89	175
T95R-WT.1_filter9	75
T95R-WT.1_filter90	76
T95R-WT.1_filter91	6
T95R-WT.1_filter92	4
T95R-WT.1_filter93	104
T95R-WT.1_filter94	50
T95R-WT.1_filter95	60
T95R-WT.1_filter96	321
T95R-WT.1_filter97	193
T95R-WT.1_filter98	51
T95R-WT.1_filter99	205
T95R.1_filter0	6
T95R.1_filter1	278
T95R.1_filter10	256
T95R.1_filter100	54
T95R.1_filter101	11
T95R.1_filter102	313
T95R.1_filter103	146
T95R.1_filter104	98
T95R.1_filter105	240
T95R.1_filter106	241
T95R.1_filter107	6
T95R.1_filter108	176
T95R.1_filter109	23
T95R.1_filter11	297
T95R.1_filter110	53
T95R.1_filter111	10
T95R.1_filter112	203
T95R.1_filter113	206
T95R.1_filter114	283
T95R.1_filter115	157
T95R.1_filter116	318
T95R.1_filter117	178
T95R.1_filter118	32
T95R.1_filter119	120
T95R.1_filter12	83
T95R.1_filter120	9
T95R.1_filter121	1
T95R.1_filter122	122
T95R.1_filter123	28
T95R.1_filter124	194
T95R.1_filter125	2
T95R.1_filter126	216
T95R.1_filter127	9
T95R.1_filter13	6
T95R.1_filter14	48
T95R.1_filter15	244
T95R.1_filter16	284
T95R.1_filter17	28
T95R.1_filter18	1
T95R.1_filter19	209
T95R.1_filter2	289
T95R.1_filter20	8
T95R.1_filter21	211
T95R.1_filter22	166
T95R.1_filter23	135
T95R.1_filter24	210
T95R.1_filter25	182
T95R.1_filter26	220
T95R.1_filter27	152
T95R.1_filter28	7
T95R.1_filter29	90
T95R.1_filter3	68
T95R.1_filter30	39
T95R.1_filter31	24
T95R.1_filter32	144
T95R.1_filter33	14
T95R.1_filter34	12
T95R.1_filter35	8
T95R.1_filter36	209
T95R.1_filter37	234
