motifs	cluster
T95R-WT.1_filter0	252
T95R-WT.1_filter1	75
T95R-WT.1_filter10	95
T95R-WT.1_filter100	159
T95R-WT.1_filter101	7
T95R-WT.1_filter102	45
T95R-WT.1_filter103	54
T95R-WT.1_filter104	60
T95R-WT.1_filter105	67
T95R-WT.1_filter106	224
T95R-WT.1_filter107	328
T95R-WT.1_filter108	326
T95R-WT.1_filter109	302
T95R-WT.1_filter11	195
T95R-WT.1_filter110	185
T95R-WT.1_filter111	21
T95R-WT.1_filter112	150
T95R-WT.1_filter113	245
T95R-WT.1_filter114	71
T95R-WT.1_filter115	276
T95R-WT.1_filter116	190
T95R-WT.1_filter117	329
T95R-WT.1_filter118	196
T95R-WT.1_filter119	197
T95R-WT.1_filter12	244
T95R-WT.1_filter120	201
T95R-WT.1_filter121	127
T95R-WT.1_filter122	135
T95R-WT.1_filter123	13
T95R-WT.1_filter124	115
T95R-WT.1_filter125	278
T95R-WT.1_filter126	175
T95R-WT.1_filter127	61
T95R-WT.1_filter13	202
T95R-WT.1_filter14	139
T95R-WT.1_filter15	305
T95R-WT.1_filter16	192
T95R-WT.1_filter17	116
T95R-WT.1_filter18	274
T95R-WT.1_filter19	128
T95R-WT.1_filter2	309
T95R-WT.1_filter20	154
T95R-WT.1_filter21	209
T95R-WT.1_filter22	329
T95R-WT.1_filter23	73
T95R-WT.1_filter24	321
T95R-WT.1_filter25	3
T95R-WT.1_filter26	79
T95R-WT.1_filter27	64
T95R-WT.1_filter28	333
T95R-WT.1_filter29	203
T95R-WT.1_filter3	317
T95R-WT.1_filter30	269
T95R-WT.1_filter31	258
T95R-WT.1_filter32	69
T95R-WT.1_filter33	117
T95R-WT.1_filter34	270
T95R-WT.1_filter35	271
T95R-WT.1_filter36	58
T95R-WT.1_filter37	4
T95R-WT.1_filter38	80
T95R-WT.1_filter39	13
T95R-WT.1_filter4	176
T95R-WT.1_filter40	72
T95R-WT.1_filter41	335
T95R-WT.1_filter42	91
T95R-WT.1_filter43	230
T95R-WT.1_filter44	81
T95R-WT.1_filter45	83
T95R-WT.1_filter46	82
T95R-WT.1_filter47	161
T95R-WT.1_filter48	46
T95R-WT.1_filter49	86
T95R-WT.1_filter5	193
T95R-WT.1_filter50	191
T95R-WT.1_filter51	66
T95R-WT.1_filter52	204
T95R-WT.1_filter53	8
T95R-WT.1_filter54	173
T95R-WT.1_filter55	207
T95R-WT.1_filter56	242
T95R-WT.1_filter57	35
T95R-WT.1_filter58	162
T95R-WT.1_filter59	311
T95R-WT.1_filter6	205
T95R-WT.1_filter60	8
T95R-WT.1_filter61	110
T95R-WT.1_filter62	291
T95R-WT.1_filter63	287
T95R-WT.1_filter64	156
T95R-WT.1_filter65	219
T95R-WT.1_filter66	318
T95R-WT.1_filter67	14
T95R-WT.1_filter68	87
T95R-WT.1_filter69	267
T95R-WT.1_filter7	174
T95R-WT.1_filter70	277
T95R-WT.1_filter71	8
T95R-WT.1_filter72	93
T95R-WT.1_filter73	336
T95R-WT.1_filter74	273
T95R-WT.1_filter75	286
T95R-WT.1_filter76	97
T95R-WT.1_filter77	43
T95R-WT.1_filter78	98
T95R-WT.1_filter79	7
T95R-WT.1_filter8	68
T95R-WT.1_filter80	111
T95R-WT.1_filter81	265
T95R-WT.1_filter82	133
T95R-WT.1_filter83	300
T95R-WT.1_filter84	307
T95R-WT.1_filter85	40
T95R-WT.1_filter86	177
T95R-WT.1_filter87	234
T95R-WT.1_filter88	7
T95R-WT.1_filter89	180
T95R-WT.1_filter9	77
T95R-WT.1_filter90	78
T95R-WT.1_filter91	7
T95R-WT.1_filter92	5
T95R-WT.1_filter93	106
T95R-WT.1_filter94	52
T95R-WT.1_filter95	62
T95R-WT.1_filter96	329
T95R-WT.1_filter97	198
T95R-WT.1_filter98	53
T95R-WT.1_filter99	210
T95R.1_filter0	7
T95R.1_filter1	284
T95R.1_filter10	262
T95R.1_filter100	56
T95R.1_filter101	12
T95R.1_filter102	319
T95R.1_filter103	149
T95R.1_filter104	100
T95R.1_filter105	246
T95R.1_filter106	247
T95R.1_filter107	7
T95R.1_filter108	181
T95R.1_filter109	24
T95R.1_filter11	303
T95R.1_filter110	55
T95R.1_filter111	11
T95R.1_filter112	208
T95R.1_filter113	211
T95R.1_filter114	289
T95R.1_filter115	160
T95R.1_filter116	325
T95R.1_filter117	183
T95R.1_filter118	33
T95R.1_filter119	122
T95R.1_filter12	85
T95R.1_filter120	10
T95R.1_filter121	1
T95R.1_filter122	124
T95R.1_filter123	29
T95R.1_filter124	199
T95R.1_filter125	2
T95R.1_filter126	221
T95R.1_filter127	10
T95R.1_filter13	7
T95R.1_filter14	50
T95R.1_filter15	250
T95R.1_filter16	290
T95R.1_filter17	29
T95R.1_filter18	1
T95R.1_filter19	214
T95R.1_filter2	295
T95R.1_filter20	9
T95R.1_filter21	216
T95R.1_filter22	171
T95R.1_filter23	137
T95R.1_filter24	215
T95R.1_filter25	187
T95R.1_filter26	226
T95R.1_filter27	155
T95R.1_filter28	8
T95R.1_filter29	92
T95R.1_filter3	70
T95R.1_filter30	41
T95R.1_filter31	25
T95R.1_filter32	147
T95R.1_filter33	15
T95R.1_filter34	13
T95R.1_filter35	9
T95R.1_filter36	214
T95R.1_filter37	240
T95R.1_filter38	238
T95R.1_filter39	1
T95R.1_filter4	142
T95R.1_filter40	308
T95R.1_filter41	188
T95R.1_filter42	235
T95R.1_filter43	63
T95R.1_filter44	165
T95R.1_filter45	30
T95R.1_filter46	48
T95R.1_filter47	282
T95R.1_filter48	272
T95R.1_filter49	231
T95R.1_filter5	143
T95R.1_filter50	254
T95R.1_filter51	42
T95R.1_filter52	314
T95R.1_filter53	36
T95R.1_filter54	89
T95R.1_filter55	148
T95R.1_filter56	120
T95R.1_filter57	47
T95R.1_filter58	301
T95R.1_filter59	325
T95R.1_filter6	256
T95R.1_filter60	1
T95R.1_filter61	19
T95R.1_filter62	263
T95R.1_filter63	332
T95R.1_filter64	228
T95R.1_filter65	10
T95R.1_filter66	126
T95R.1_filter67	44
T95R.1_filter68	76
T95R.1_filter69	22
T95R.1_filter7	329
T95R.1_filter70	186
T95R.1_filter71	169
T95R.1_filter72	326
T95R.1_filter73	18
T95R.1_filter74	260
T95R.1_filter75	13
T95R.1_filter76	113
T95R.1_filter77	2
T95R.1_filter78	329
T95R.1_filter79	8
T95R.1_filter8	239
T95R.1_filter80	184
T95R.1_filter81	279
T95R.1_filter82	59
T95R.1_filter83	253
T95R.1_filter84	232
T95R.1_filter85	241
T95R.1_filter86	283
T95R.1_filter87	279
T95R.1_filter88	84
T95R.1_filter89	306
T95R.1_filter9	297
T95R.1_filter90	146
T95R.1_filter91	298
T95R.1_filter92	170
T95R.1_filter93	123
T95R.1_filter94	49
T95R.1_filter95	327
T95R.1_filter96	103
T95R.1_filter97	157
T95R.1_filter98	288
T95R.1_filter99	51
WT.1_filter0	1
WT.1_filter1	332
WT.1_filter10	330
WT.1_filter100	220
WT.1_filter101	310
WT.1_filter102	158
WT.1_filter103	299
WT.1_filter104	130
WT.1_filter105	236
WT.1_filter106	138
WT.1_filter107	222
WT.1_filter108	26
WT.1_filter109	268
WT.1_filter11	37
WT.1_filter110	1
WT.1_filter111	34
WT.1_filter112	217
WT.1_filter113	32
WT.1_filter114	206
WT.1_filter115	29
WT.1_filter116	255
WT.1_filter117	152
WT.1_filter118	167
WT.1_filter119	108
WT.1_filter12	2
WT.1_filter120	322
WT.1_filter121	182
WT.1_filter122	20
WT.1_filter123	23
WT.1_filter124	32
WT.1_filter125	96
WT.1_filter126	189
WT.1_filter127	315
WT.1_filter13	105
WT.1_filter14	38
WT.1_filter15	213
WT.1_filter16	178
WT.1_filter17	17
WT.1_filter18	248
WT.1_filter19	264
WT.1_filter2	90
WT.1_filter20	213
WT.1_filter21	57
WT.1_filter22	259
WT.1_filter23	74
WT.1_filter24	163
WT.1_filter25	249
WT.1_filter26	65
WT.1_filter27	121
WT.1_filter28	243
WT.1_filter29	119
WT.1_filter3	237
WT.1_filter30	334
WT.1_filter31	17
WT.1_filter32	112
WT.1_filter33	304
WT.1_filter34	125
WT.1_filter35	229
WT.1_filter36	29
WT.1_filter37	144
