motifs	cluster
T95R.1_filter8	96
T95R.1_filter80	64
T95R.1_filter81	109
T95R.1_filter82	15
T95R.1_filter83	100
T95R.1_filter84	94
T95R.1_filter85	97
T95R.1_filter86	109
T95R.1_filter87	109
T95R.1_filter88	23
T95R.1_filter89	116
T95R.1_filter9	113
T95R.1_filter90	47
T95R.1_filter91	113
T95R.1_filter92	57
T95R.1_filter93	39
T95R.1_filter94	11
T95R.1_filter95	122
T95R.1_filter96	30
T95R.1_filter97	52
T95R.1_filter98	111
T95R.1_filter99	12
WT.1_filter0	1
WT.1_filter1	123
WT.1_filter10	123
WT.1_filter100	91
WT.1_filter101	117
WT.1_filter102	52
WT.1_filter103	113
WT.1_filter104	42
WT.1_filter105	95
WT.1_filter106	45
WT.1_filter107	92
WT.1_filter108	6
WT.1_filter109	104
WT.1_filter11	8
WT.1_filter110	1
WT.1_filter111	8
WT.1_filter112	90
WT.1_filter113	8
WT.1_filter114	82
WT.1_filter115	7
WT.1_filter116	101
WT.1_filter117	51
WT.1_filter118	56
WT.1_filter119	33
WT.1_filter12	1
WT.1_filter120	122
WT.1_filter121	63
WT.1_filter122	5
WT.1_filter123	6
WT.1_filter124	8
WT.1_filter125	27
WT.1_filter126	66
WT.1_filter127	119
WT.1_filter13	31
WT.1_filter14	9
WT.1_filter15	89
WT.1_filter16	62
WT.1_filter17	5
WT.1_filter18	99
WT.1_filter19	103
WT.1_filter2	25
WT.1_filter20	89
WT.1_filter21	14
WT.1_filter22	102
WT.1_filter23	20
WT.1_filter24	55
WT.1_filter25	99
WT.1_filter26	18
WT.1_filter27	38
WT.1_filter28	98
WT.1_filter29	37
WT.1_filter3	95
WT.1_filter30	123
WT.1_filter31	5
WT.1_filter32	34
WT.1_filter33	115
WT.1_filter34	40
WT.1_filter35	93
WT.1_filter36	7
WT.1_filter37	47
WT.1_filter38	42
WT.1_filter39	41
WT.1_filter4	112
WT.1_filter40	76
WT.1_filter41	103
WT.1_filter42	42
WT.1_filter43	43
WT.1_filter44	92
WT.1_filter45	46
WT.1_filter46	102
WT.1_filter47	110
WT.1_filter48	93
WT.1_filter49	33
WT.1_filter5	28
WT.1_filter50	123
WT.1_filter51	88
WT.1_filter52	104
WT.1_filter53	112
WT.1_filter54	30
WT.1_filter55	5
WT.1_filter56	70
WT.1_filter57	35
WT.1_filter58	123
WT.1_filter59	1
WT.1_filter6	123
WT.1_filter60	94
WT.1_filter61	6
WT.1_filter62	3
WT.1_filter63	47
WT.1_filter64	24
WT.1_filter65	90
WT.1_filter66	44
WT.1_filter67	55
WT.1_filter68	111
WT.1_filter69	3
WT.1_filter7	30
WT.1_filter70	36
WT.1_filter71	122
WT.1_filter72	122
WT.1_filter73	118
WT.1_filter74	109
WT.1_filter75	118
WT.1_filter76	93
WT.1_filter77	123
WT.1_filter78	122
WT.1_filter79	121
WT.1_filter8	113
WT.1_filter80	46
WT.1_filter81	32
WT.1_filter82	100
WT.1_filter83	119
WT.1_filter84	51
WT.1_filter85	123
WT.1_filter86	8
WT.1_filter87	58
WT.1_filter88	9
WT.1_filter89	62
WT.1_filter9	50
WT.1_filter90	109
WT.1_filter91	3
WT.1_filter92	107
WT.1_filter93	56
WT.1_filter94	55
WT.1_filter95	26
WT.1_filter96	122
WT.1_filter97	6
WT.1_filter98	30
WT.1_filter99	1
